industry-coal,industry-natural_gas,industry-oil,other-oil,transport-natural_gas,transport-oil
190.5,11.37,531.26,587.72,0.43,1588.61
280.42,7.11,408.65,535.58,0.43,1428.29
143.21,8.36,444.82,584.31,0.43,1581.16
186.45,6.72,433.29,565.79,0.43,1557.4
273.05,9.45,495.61,563.24,0.43,1513.35
189.94,6.16,461.24,547.36,0.43,1465.69
427.81,7.69,460.96,573.08,0.43,1542.77
195.91,6.94,431.23,561.04,0.43,1493.17
187.8,4.84,470.47,536.44,0.43,1406.57
247.81,8.58,439.05,562.94,0.43,1503.36
282.59,8.67,422.36,550.84,0.43,1460.19
334.56,9.24,458.19,598.06,0.43,1551.44
338.65,6.99,423.82,612.46,0.43,1767.64
253.72,10.97,383.89,585.51,0.43,1704.75
358.01,11.75,448.03,644.01,0.43,1872.79
365.11,11.52,451.83,610.45,0.43,1798.04
377.82,12.05,502.24,608.08,0.43,1734.7
235.36,12.4,468.55,614.14,0.43,1757.52
324.43,12.45,472.82,598.88,0.43,1717.99
232.51,10.15,508.74,617.01,0.43,1748.65
223.13,13.69,536.37,599.55,0.43,1682.44
346.53,15.96,524.89,586.19,0.43,1637.48
234.93,12.49,501.64,615.34,0.43,1729.29
303.22,16.85,455.79,672.04,0.43,1895.82
483.4,16.16,574.71,672.91,0.43,2069.27
383.64,17.37,462.64,617.2,0.43,1914.9
466.56,19.96,529.67,713.53,0.43,2228.95
268.33,14.71,519.48,683.78,0.43,2163.71
351.47,15.3,518.86,702.96,0.43,2189.01
520.64,15.23,587.31,672.7,0.43,2097.96
379.48,15.48,548.19,679.24,0.43,2107.53
414.74,16.02,588.52,686.06,0.43,2095.09
317.88,15.99,532.45,651.62,0.43,1995.35
351.07,15.99,614.86,660.1,0.43,2029.26
452.22,20.06,676.0,677.89,0.43,2089.01
425.71,22.22,630.59,726.54,0.43,2222.37
504.63,24.74,597.3,744.42,0.43,2415.54
420.51,22.5,600.82,695.58,0.43,2219.57
508.21,25.09,674.55,766.36,0.43,2477.71
462.86,25.03,598.66,710.96,0.43,2352.33
562.8,27.16,634.84,742.17,0.43,2396.02
655.24,27.34,689.69,731.84,0.43,2351.43
413.55,27.47,710.39,743.06,0.43,2353.07
446.85,30.64,780.93,800.38,0.43,2540.02
471.58,33.02,671.41,760.76,0.43,2429.25
507.12,35.12,660.01,685.23,0.43,2183.88
605.88,35.22,658.46,717.91,0.43,2287.4
597.73,57.97,654.64,739.78,0.43,2348.23
579.16,60.95,749.08,830.3,0.43,2650.84
491.99,48.56,614.94,721.49,0.43,2321.37
553.12,38.62,691.5,781.45,0.43,2522.32
535.6,35.07,695.56,760.36,0.43,2496.3
543.39,34.58,719.5,778.37,0.43,2498.86
577.5,35.88,656.27,741.18,0.43,2410.31
585.85,39.52,759.67,763.19,0.43,2475.9
533.55,43.18,748.58,757.37,0.43,2456.54
560.74,42.59,764.71,685.95,0.43,2198.19
503.61,44.21,769.04,695.7,0.43,2245.9
699.14,44.17,688.66,709.93,0.43,2310.31
732.02,48.29,793.39,740.24,0.43,2391.25
656.11,46.83,836.06,793.97,0.43,2534.59
638.23,51.6,788.41,762.21,0.43,2476.01
641.13,58.8,929.94,801.78,0.43,2632.69
511.54,54.5,894.91,766.36,0.43,2586.91
638.62,59.51,914.75,778.52,0.43,2590.61
689.32,62.03,935.69,772.68,0.43,2534.79
596.66,61.55,864.43,772.44,0.43,2526.81
486.38,61.59,852.69,764.68,0.43,2467.68
733.77,60.06,842.32,760.83,0.43,2467.49
717.56,66.17,835.68,789.77,0.43,2575.59
673.41,66.33,855.85,801.49,0.43,2576.95
678.29,65.99,848.67,911.0,0.43,2942.36
747.39,67.43,881.18,726.02,0.43,2995.46
774.12,63.61,847.86,699.68,0.43,2848.88
881.47,70.22,992.48,758.03,0.43,3157.08
810.49,65.91,936.18,718.31,0.43,3068.95
870.51,73.28,972.95,733.99,0.43,3114.44
945.85,77.22,925.43,722.66,0.43,3039.28
917.5,76.1,928.43,738.2,0.43,3104.99
950.54,78.18,928.4,715.53,0.43,2970.64
1091.85,60.52,887.81,709.12,0.43,2895.95
891.8,71.99,995.51,728.27,0.43,2991.49
1124.93,89.67,995.5,754.69,0.43,3130.75
959.29,75.75,964.63,784.86,0.43,3216.48
1262.05,74.02,975.21,771.6,0.43,3285.76
952.81,76.07,909.89,717.44,0.43,3101.77
1090.3,90.38,998.66,781.92,0.43,3379.19
1150.48,76.48,948.04,756.04,0.43,3399.84
1120.37,92.4,1080.09,780.43,0.43,3395.45
1106.39,95.26,997.56,785.99,0.43,3447.65
